application_id|port_of_arrival|port_of_departure|university_name|tuition_fee|course,
100050|Chennai|Rajkot|IIT-B|100000|CS
100051|Kolkata|Mumbai|IIT-KH|200000|Mechanical
100052|Hydrabad|Delhi|DAIICT|100000|CS
100053|Pune|Banglore|AMITYA|150000|Civil
100054|Rajkot|Amritsur|BITS|100000|CS
100055|Mumbai|Chennai|VIT|200000|Mechanical
100056|Delhi|Kolkata|NITK|100000|CS
100057|Banglore|Hydrabad|SVNIT|150000|Civil
100058|Amritsur|Pune|PDPU|100000|CS
100059|Chennai|Rajkot|Nirma|200000|Mechanical
100060|Kolkata|Mumbai|VGEC|100000|CS
100061|Hydrabad|Delhi|IIT-B|150000|Civil
100062|Pune|Banglore|IIT-KH|100000|CS
100063|Rajkot|Amritsur|IIT-B|200000|Mechanical
100064|Mumbai|Chennai|IIT-B|100000|CS
100065|Delhi|Kolkata|IIT-B|150000|Civil
100066|Banglore|Hydrabad|IIT-B|100000|CS
100067|Amritsur|Pune|IIT-KH|200000|Mechanical
100068|Chennai|Rajkot|DAIICT|100000|CS
100069|Kolkata|Mumbai|AMITYA|150000|Civil
100070|Hydrabad|Delhi|BITS|100000|CS
100071|Pune|Banglore|VIT|200000|Mechanical
100072|Rajkot|Amritsur|NITK|100000|CS
100073|Mumbai|Chennai|SVNIT|100000|CS
100074|Delhi|Kolkata|PDPU|200000|Mechanical
100075|Chennai|Rajkot|Nirma|100000|CS
100076|Kolkata|Mumbai|VGEC|150000|Civil
